 written on 15Jun2021 at 22:00:36 
   20.0000000000000       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000   20.0000000000000       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000   2.56598541000000     
           4
          41
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2

    0    0  -20
    3    1    0.39386266E-01 -0.47618051E-04
    4    1    0.46766896E-03 -0.72724264E-05
    1    2    0.30290303E-03  0.36633032E-05
    2    2    0.61882597E-02 -0.16455103E-06
    3    2   -0.39266209E-03  0.17755162E-04
    4    2    0.41300487E-01 -0.27996125E-04
    1    3    0.31396497E-02  0.41736132E-05
    2    3   -0.15325586E-04 -0.12139684E-04
    3    3   -0.32884762E-01 -0.32354032E-07
    4    3    0.20355715E-04 -0.32411804E-04
    1    4   -0.38008564E-03 -0.82717758E-05
    2    4   -0.35823255E-01 -0.24212836E-04
    3    4    0.24662182E-04 -0.36067811E-04
    4    4   -0.54727287E-01 -0.87402224E-07

    0    0    7
    1    1    0.16144864E-01  0.11690489E-06
    2    1   -0.10730539E-03  0.17454141E-05
    3    1    0.31396974E-02 -0.44202328E-05
    4    1   -0.38271560E-03 -0.26051496E-04
    1    2   -0.10789417E-03  0.70108034E-05
    2    2    0.50313632E-02 -0.77360854E-07
    3    2   -0.13723915E-04 -0.11675768E-04
    4    2   -0.35820638E-01  0.26690116E-04
    1    3   -0.22934392E-01 -0.28016838E-04
    2    3    0.22536525E-03  0.41151767E-05
    3    3    0.20035071E-01 -0.52562290E-07
    4    3   -0.53068102E-04 -0.60314434E-05
    1    4   -0.40274111E-03  0.21485997E-04
    2    4   -0.34434644E-01 -0.25093442E-04
    3    4   -0.52749307E-04 -0.58447262E-06
    4    4   -0.21081708E-01  0.83979221E-08

    0    0    8
    1    1    0.10618131E-01 -0.18727047E-06
    2    1   -0.11691198E-03 -0.10300270E-04
    3    1   -0.22934336E-01  0.27990964E-04
    4    1   -0.40114448E-03  0.59576188E-06
    1    2   -0.11587735E-03 -0.47033560E-05
    2    2   -0.15920548E-02  0.11425591E-06
    3    2    0.22557262E-03 -0.74345755E-05
    4    2   -0.34435701E-01  0.23777022E-04
    1    3    0.37685704E-02  0.45022152E-05
    2    3   -0.44253380E-04  0.36501658E-05
    3    3    0.14224557E-01  0.24725751E-07
    4    3    0.43162120E-05  0.20602542E-04
    1    4    0.16515998E-03  0.93753673E-05
    2    4    0.17430804E-01  0.11289881E-04
    3    4    0.15920747E-05  0.22896768E-04
    4    4    0.26225098E-01  0.56870014E-07

    0    0    9
    1    1   -0.12250378E-01 -0.35569022E-07
    2    1    0.76557335E-04  0.39173827E-06
    3    1    0.37685603E-02 -0.44133943E-05
    4    1    0.16719013E-03  0.17069907E-04
    1    2    0.76746962E-04 -0.33337177E-05
    2    2   -0.40036445E-02  0.21174458E-07
    3    2   -0.44904727E-04  0.60455588E-05
    4    2    0.17428789E-01 -0.13471930E-04
    1    3    0.12835635E-01  0.15712435E-04
    2    3   -0.12378780E-03 -0.40380374E-05
