iaver=       1

 -0.12683E+00 -0.12683E+00 -0.12937E+00 -0.16890E+00 -0.18485E+00 -0.18485E+00 -0.19757E+00
 -0.23553E+00 -0.23553E+00 -0.23623E+00 -0.24238E+00 -0.27707E+00 -0.27863E+00 -0.27863E+00
 -0.28004E+00 -0.30933E+00 -0.31401E+00 -0.31401E+00 -0.31518E+00 -0.33835E+00 -0.34031E+00
 -0.34161E+00 -0.34161E+00 -0.35403E+00 -0.36135E+00 -0.36135E+00 -0.36952E+00 -0.37321E+00
 -0.37321E+00 -0.37543E+00 -0.37717E+00 -0.38009E+00 -0.38365E+00

     time=      19.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.14492E-01 -0.61846E-02 -0.55297E-01 -0.55954E-01 -0.62220E-01 -0.62220E-01 -0.11337E+00
 -0.12570E+00 -0.12683E+00 -0.12683E+00 -0.17007E+00 -0.18485E+00 -0.18485E+00 -0.19980E+00
 -0.23553E+00 -0.23553E+00 -0.23843E+00 -0.24030E+00 -0.27575E+00 -0.27863E+00 -0.27863E+00
 -0.28125E+00 -0.31001E+00 -0.31401E+00 -0.31401E+00 -0.31472E+00 -0.33832E+00 -0.33995E+00
 -0.34161E+00 -0.34161E+00 -0.35437E+00 -0.36135E+00 -0.36135E+00 -0.36687E+00 -0.37321E+00
 -0.37321E+00 -0.37486E+00 -0.37717E+00 -0.37912E+00 -0.38308E+00

     time=      20.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.17195E-01 -0.61846E-02 -0.49686E-01 -0.61773E-01 -0.62220E-01 -0.62220E-01 -0.11674E+00
 -0.12413E+00 -0.12683E+00 -0.12683E+00 -0.17360E+00 -0.18485E+00 -0.18485E+00 -0.19826E+00
 -0.23549E+00 -0.23553E+00 -0.23553E+00 -0.23890E+00 -0.27128E+00 -0.27863E+00 -0.27863E+00
 -0.28503E+00 -0.31125E+00 -0.31401E+00 -0.31401E+00 -0.31442E+00 -0.33835E+00 -0.34009E+00
 -0.34161E+00 -0.34161E+00 -0.35530E+00 -0.36135E+00 -0.36135E+00 -0.36448E+00 -0.37321E+00
 -0.37321E+00 -0.37455E+00 -0.37717E+00 -0.37814E+00 -0.38263E+00

     time=      21.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.18076E-01 -0.61846E-02 -0.45253E-01 -0.62220E-01 -0.62220E-01 -0.67473E-01 -0.12165E+00
 -0.12366E+00 -0.12683E+00 -0.12683E+00 -0.17786E+00 -0.18485E+00 -0.18485E+00 -0.19334E+00
 -0.23080E+00 -0.23553E+00 -0.23553E+00 -0.23879E+00 -0.26852E+00 -0.27863E+00 -0.27863E+00
 -0.28716E+00 -0.31276E+00 -0.31369E+00 -0.31401E+00 -0.31401E+00 -0.33808E+00 -0.34101E+00
 -0.34161E+00 -0.34161E+00 -0.35655E+00 -0.36135E+00 -0.36135E+00 -0.36259E+00 -0.37321E+00
 -0.37321E+00 -0.37460E+00 -0.37717E+00 -0.37721E+00 -0.38232E+00

     time=      22.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.17044E-01 -0.61846E-02 -0.41752E-01 -0.62220E-01 -0.62220E-01 -0.72195E-01 -0.12417E+00
 -0.12634E+00 -0.12683E+00 -0.12683E+00 -0.18197E+00 -0.18485E+00 -0.18485E+00 -0.18625E+00
 -0.22742E+00 -0.23553E+00 -0.23553E+00 -0.23980E+00 -0.26785E+00 -0.27863E+00 -0.27863E+00
 -0.28790E+00 -0.31249E+00 -0.31401E+00 -0.31401E+00 -0.31458E+00 -0.33779E+00 -0.34161E+00
 -0.34161E+00 -0.34232E+00 -0.35806E+00 -0.36111E+00 -0.36135E+00 -0.36135E+00 -0.37321E+00
 -0.37321E+00 -0.37492E+00 -0.37632E+00 -0.37717E+00 -0.38216E+00

     time=      23.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.14550E-01 -0.61846E-02 -0.38997E-01 -0.62220E-01 -0.62220E-01 -0.74762E-01 -0.12392E+00
 -0.12683E+00 -0.12683E+00 -0.12991E+00 -0.17957E+00 -0.18485E+00 -0.18485E+00 -0.18590E+00
 -0.22707E+00 -0.23553E+00 -0.23553E+00 -0.24155E+00 -0.26877E+00 -0.27863E+00 -0.27863E+00
 -0.28771E+00 -0.31126E+00 -0.31401E+00 -0.31401E+00 -0.31639E+00 -0.33763E+00 -0.34161E+00
 -0.34161E+00 -0.34380E+00 -0.35945E+00 -0.36059E+00 -0.36135E+00 -0.36135E+00 -0.37321E+00
 -0.37321E+00 -0.37521E+00 -0.37544E+00 -0.37717E+00 -0.38231E+00

     time=      24.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.92919E-02 -0.61846E-02 -0.38976E-01 -0.62220E-01 -0.62220E-01 -0.73889E-01 -0.12190E+00
 -0.12683E+00 -0.12683E+00 -0.13252E+00 -0.17478E+00 -0.18485E+00 -0.18485E+00 -0.19014E+00
 -0.22950E+00 -0.23553E+00 -0.23553E+00 -0.24345E+00 -0.27162E+00 -0.27863E+00 -0.27863E+00
