iaver=       1

     time=       1.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.30201E-01  0.32446E-01  0.75197E-01  0.95310E-01  0.95310E-01  0.11041E+00  0.16954E+00
  0.18027E+00  0.18027E+00  0.18876E+00  0.25274E+00  0.27174E+00  0.27174E+00  0.28513E+00
  0.34341E+00  0.34874E+00  0.34877E+00  0.35889E+00  0.35908E+00  0.36185E+00  0.37349E+00
  0.37925E+00  0.38289E+00  0.38457E+00  0.39458E+00  0.39570E+00  0.39870E+00  0.39892E+00
  0.40766E+00  0.40867E+00  0.41111E+00  0.41175E+00  0.43221E+00  0.43235E+00  0.44982E+00
  0.45540E+00  0.45951E+00  0.46189E+00  0.46865E+00  0.48185E+00

     time=      17.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.32446E-01  0.37605E-01  0.80664E-01  0.95310E-01  0.95310E-01  0.10868E+00  0.16910E+00
  0.18027E+00  0.18027E+00  0.18646E+00  0.24918E+00  0.27174E+00  0.27174E+00  0.29169E+00
  0.34373E+00  0.34847E+00  0.34868E+00  0.35892E+00  0.36193E+00  0.36294E+00  0.37201E+00
  0.37940E+00  0.38490E+00  0.38646E+00  0.39457E+00  0.39506E+00  0.39874E+00  0.39887E+00
  0.40800E+00  0.40918E+00  0.41113E+00  0.41176E+00  0.43224E+00  0.43237E+00  0.44859E+00
  0.45875E+00  0.46054E+00  0.46190E+00  0.47058E+00  0.47896E+00

     time=      18.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.32446E-01  0.45293E-01  0.88963E-01  0.95310E-01  0.95310E-01  0.10397E+00  0.16933E+00
  0.18027E+00  0.18027E+00  0.18309E+00  0.24808E+00  0.27174E+00  0.27174E+00  0.29611E+00
  0.34378E+00  0.34808E+00  0.34860E+00  0.35895E+00  0.36208E+00  0.36677E+00  0.37053E+00
  0.37958E+00  0.38492E+00  0.38941E+00  0.39436E+00  0.39479E+00  0.39881E+00  0.39884E+00
  0.40809E+00  0.41045E+00  0.41119E+00  0.41176E+00  0.43228E+00  0.43240E+00  0.44717E+00
  0.46027E+00  0.46189E+00  0.46321E+00  0.47344E+00  0.47562E+00

     time=      19.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.32446E-01  0.51184E-01  0.95310E-01  0.95310E-01  0.97431E-01  0.98552E-01  0.17121E+00
  0.18027E+00  0.18027E+00  0.18072E+00  0.25141E+00  0.27174E+00  0.27174E+00  0.29698E+00
