 written on 20Jun2021 at 09:09:34 
           6
          21
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2
    0    0    4    3    4   -0.000023    0.000001
    0    0    4    4    4    0.034645   -0.000000
    0    0    4    5    4   -0.000041   -0.000001
    0    0    4    6    4   -0.018253   -0.000184
    0    0    4    1    5   -0.004345    0.000004
    0    0    4    2    5   -0.000820    0.000016
    0    0    4    3    5   -0.119529    0.001430
    0    0    4    4    5    0.000890   -0.000017
    0    0    4    5    5   -0.004363   -0.000000
    0    0    4    6    5   -0.000681    0.000005
    0    0    4    1    6   -0.000042   -0.000000
    0    0    4    2    6    0.007762   -0.000074
    0    0    4    3    6   -0.000023    0.000000
    0    0    4    4    6   -0.018254    0.000184
    0    0    4    5    6    0.000041    0.000000
    0    0    4    6    6    0.009330    0.000000
    0    0    5    1    1   -0.011859   -0.000000
    0    0    5    2    1   -0.000177    0.000005
    0    0    5    3    1    0.031752   -0.000349
    0    0    5    4    1    0.000041   -0.000000
    0    0    5    5    1   -0.011887   -0.000011
    0    0    5    6    1   -0.000042    0.000000
    0    0    5    1    2   -0.000177   -0.000005
    0    0    5    2    2   -0.021981   -0.000000
    0    0    5    3    2   -0.000001   -0.000001
    0    0    5    4    2   -0.016159    0.000010
    0    0    5    5    2    0.000176    0.000005
    0    0    5    6    2    0.007762    0.000074
    0    0    5    1    3    0.079235    0.000872
    0    0    5    2    3    0.000003    0.000001
    0    0    5    3    3    0.042188    0.000000
    0    0    5    4    3    0.000009    0.000000
    0    0    5    5    3    0.079237    0.000947
    0    0    5    6    3    0.000007    0.000000
    0    0    5    1    4    0.000083    0.000004
    0    0    5    2    4    0.035263    0.000022
    0    0    5    3    4    0.000009   -0.000000
    0    0    5    4    4   -0.018551    0.000000
    0    0    5    5    4   -0.000081   -0.000004
    0    0    5    6    4    0.011634    0.000116
    0    0    5    1    5   -0.011887    0.000011
    0    0    5    2    5    0.000176   -0.000005
    0    0    5    3    5    0.031749   -0.000379
    0    0    5    4    5   -0.000041    0.000000
    0    0    5    5    5   -0.011859   -0.000000
    0    0    5    6    5    0.000041   -0.000000
    0    0    5    1    6   -0.000055   -0.000002
    0    0    5    2    6   -0.021641    0.000205
    0    0    5    3    6    0.000007    0.000000
    0    0    5    4    6    0.011634   -0.000116
    0    0    5    5    6    0.000055    0.000002
    0    0    5    6    6   -0.007223    0.000000
    0    0    6    1    1   -0.004435   -0.000000
    0    0    6    2    1    0.000135    0.000002
    0    0    6    3    1    0.079235   -0.000872
    0    0    6    4    1    0.000083   -0.000004
    0    0    6    5    1   -0.004427   -0.000004
    0    0    6    6    1   -0.000055    0.000002
    0    0    6    1    2    0.000135   -0.000002
    0    0    6    2    2   -0.039884    0.000000
    0    0    6    3    2    0.000003   -0.000001
    0    0    6    4    2    0.035263   -0.000022
    0    0    6    5    2   -0.000136    0.000001
    0    0    6    6    2   -0.021641   -0.000205
    0    0    6    1    3    0.006448    0.000071
    0    0    6    2    3    0.000000    0.000000
    0    0    6    3    3   -0.044457    0.000000
    0    0    6    4    3    0.000016    0.000000
    0    0    6    5    3    0.006450    0.000077
    0    0    6    6    3    0.000014    0.000000
    0    0    6    1    4   -0.000102   -0.000001
    0    0    6    2    4    0.002416    0.000002
    0    0    6    3    4    0.000017   -0.000000
    0    0    6    4    4   -0.014303   -0.000000
    0    0    6    5    4    0.000102    0.000001
    0    0    6    6    4    0.008493    0.000087
    0    0    6    1    5   -0.004427    0.000004
    0    0    6    2    5   -0.000136   -0.000001
    0    0    6    3    5    0.079237   -0.000947
    0    0    6    4    5   -0.000081    0.000004
    0    0    6    5    5   -0.004435   -0.000000
    0    0    6    6    5    0.000055   -0.000002
    0    0    6    1    6    0.000069    0.000000
